first_name,last_name,age,gender
TAMIKA,Bridgewater,47,f
JAMILA,Ransom,44,f
RICKI,Brock,39,f
WENDELL,Porter,78,m
TY,Lee,27,m
NIRMALA,Brown,35,f
SONJA,Cureton,69,f
ESSIE,Mcminn,55,f
KATINA,Robinson,50,f
KERRY,Garrett,34,f
DARNELL,Banks,51,m
CLEO,Jones,75,m
ROOSEVELT,Burgher,66,m
LATISHA,Cook,34,f
JUSTINE,Sumpter,28,f
TAMIKA,Jones,47,f
ELBERT,Pogue,65,m
LAMONT,Acosta,62,m
LUC,Eberhart,18,m
KYONG,Hart,64,f
LATISHA,Nelson,52,f
CONSUELO,Harper,49,f
LEO,Payton,64,m
ALTA,Thomas,86,f
AGNES,Billups,33,f
BASIL,Walker,18,m
CLAUDE,Holmes,73,m
FERNANDA,Freeman,18,f
ROOSEVELT,Adams,31,m
LATISHA,Green,47,f
DANE,Pace,39,m
JAMILA,Bontemps,45,f
ROSEMARY,Williams,38,f
CARLENE,Carmichael,68,f
DARLENE,Roseborough,65,f
MALIK,Rymer,25,m
EARNEST,Monroe,81,m
GLADYS,Dailey,93,f
CLARISSA,Gill,76,f
QUINTIN,Rankine,27,m
LETITIA,Barnes,53,f
SAVANNAH,Kennedy,26,f
CHARMAINE,Asberry,25,f
TORY,Anderson,22,m
QUINTON,Akinpelu,39,m
JOELLE,Adams,28,f
RAPHAEL,Ewell,58,m
LATASHA,Booker,35,f
SELENA,Garris,51,f
LOYD,Tate,86,m
SAMSON,Catchings,18,m
SHAYLA,Middleton,23,f
KRIS,Watson,54,f
ZINA,Byas,59,f
MAXINE,Evans,89,f
BETTIE,Hyman,84,f
ROSCOE,Mayo,25,m
LEVON,Sellars,58,m
AVERY,Costley,33,f
LUCRETIA,Simmons,57,f
LAKISHA,Credit,52,f
CORINE,Edmund,87,f
LANE,Morris,20,m
CYRIL,Kitchen,70,m
MAGGIE,Bennett,34,f
MELVA,Robinson,74,f
ROSIE,Stone,61,f
CEDRIC,Ballard,30,m
ORA,Robinson,78,f
OLA,Mcmaster,79,f
IVY,Toney,18,f
MARLON,Davis,26,m
GLORIA,Posey,91,f
MILTON,Branch,59,m
HARRISON,Yancy,20,m
LATRICE,Lewis,41,f
